[2026-03-29 22:11:09 CLIP_DINOiser_fast] (run_remix_training_experiment.py 140): INFO Training finished. Running evaluation...
[2026-03-29 22:13:03 CLIP_DINOiser_fast] (logging.py 102): INFO per class results:
[2026-03-29 22:13:03 CLIP_DINOiser_fast] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
+------------------+-------+-------+
|      person      | 16.32 | 17.43 |
|     bicycle      | 44.28 | 83.39 |
|       car        | 38.41 | 69.43 |
|    motorcycle    |  61.3 | 75.46 |
|     airplane     | 65.65 | 97.04 |
|       bus        |  66.1 |  84.2 |
|      train       | 36.98 |  47.9 |
|      truck       | 18.72 | 23.41 |
|       boat       | 52.59 | 81.02 |
|  traffic light   |  23.6 | 61.39 |
|   fire hydrant   | 45.19 | 63.36 |
|    stop sign     |  12.5 | 83.96 |
|  parking meter   | 10.04 | 12.95 |
|      bench       |  23.1 | 34.36 |
|       bird       | 46.63 | 81.04 |
|       cat        | 69.68 | 97.02 |
|       dog        | 68.51 | 93.38 |
|      horse       | 50.83 | 73.28 |
|      sheep       | 51.04 | 74.65 |
|       cow        | 62.59 | 91.08 |
|     elephant     | 85.76 | 97.12 |
|       bear       | 84.14 | 94.44 |
|      zebra       | 78.33 |  94.2 |
|     giraffe      | 47.06 | 81.87 |
|     backpack     |  1.6  | 10.93 |
|     umbrella     | 39.18 | 54.68 |
|     handbag      |  0.21 |  0.37 |
|       tie        |  1.37 | 45.72 |
|     suitcase     | 55.48 | 64.36 |
|     frisbee      |  5.49 | 63.01 |
|       skis       | 11.57 | 67.18 |
|    snowboard     |  0.01 |  0.62 |
|   sports ball    |  1.05 | 41.07 |
|       kite       | 35.67 | 59.47 |
|   baseball bat   |  0.0  |  0.0  |
|  baseball glove  |  0.0  |  0.0  |
|    skateboard    | 13.91 | 17.28 |
|    surfboard     | 27.67 | 88.96 |
|  tennis racket   |  4.22 | 20.25 |
|      bottle      | 36.42 | 52.58 |
|    wine glass    |  22.1 | 47.42 |
|       cup        |  1.6  |  2.58 |
|       fork       |  0.0  |  0.0  |
|      knife       |  0.0  |  0.0  |
|      spoon       | 60.52 | 91.19 |
|       bowl       |  7.84 | 14.69 |
|      banana      | 16.37 | 16.71 |
|      apple       |  0.0  |  0.0  |
|     sandwich     |  0.0  |  0.0  |
|      orange      |  0.0  |  0.0  |
|     broccoli     |  0.0  |  0.0  |
|      carrot      | 22.22 | 22.24 |
|     hot dog      |  0.0  |  0.0  |
|      pizza       | 10.83 | 16.29 |
|      donut       |  0.0  |  0.0  |
|       cake       | 16.68 | 31.62 |
|      chair       |  1.55 |  1.78 |
|      couch       | 28.03 | 37.28 |
|   potted plant   |  2.09 |  2.1  |
|       bed        | 36.68 |  46.9 |
|   dining table   |  15.3 | 18.36 |
|      toilet      | 33.54 | 94.17 |
|        tv        |  16.0 | 17.97 |
|      laptop      | 41.61 |  54.9 |
|      mouse       | 38.83 | 87.71 |
|      remote      |  5.05 | 39.92 |
|     keyboard     | 42.65 | 94.54 |
|    cell phone    | 23.16 | 29.62 |
|    microwave     | 22.54 | 23.97 |
|       oven       | 31.75 | 61.12 |
|     toaster      |  0.0  |  0.0  |
|       sink       | 20.98 | 40.71 |
|   refrigerator   | 24.73 | 29.18 |
|       book       | 37.26 | 42.67 |
|      clock       |  6.98 | 12.57 |
|       vase       | 58.25 | 77.21 |
|     scissors     |  0.0  |  0.0  |
|    teddy bear    |  0.59 |  0.6  |
|    hair drier    |  0.0  |  nan  |
|    toothbrush    |  0.0  |  0.0  |
|      banner      |  2.17 | 85.35 |
|     blanket      |  7.13 | 16.48 |
|      branch      |  1.68 |  4.12 |
|      bridge      | 24.83 | 27.27 |
|  building-other  | 22.31 | 44.98 |
|       bush       |  4.47 | 19.36 |
|     cabinet      | 29.77 | 47.12 |
|       cage       | 20.83 | 29.98 |
|    cardboard     |  1.61 |  2.35 |
|      carpet      | 56.44 | 62.14 |
|  ceiling-other   | 26.44 | 48.98 |
|   ceiling-tile   |  0.0  |  nan  |
|      cloth       |  0.0  |  0.0  |
|     clothes      |  1.95 |  9.55 |
|      clouds      | 54.44 | 60.84 |
|     counter      |  12.3 | 34.33 |
|     cupboard     |  0.0  |  0.0  |
|     curtain      | 27.72 | 31.86 |
|    desk-stuff    | 19.75 | 26.15 |
|       dirt       |  7.06 |  8.21 |
|    door-stuff    |  5.6  |  5.99 |
|      fence       | 23.23 | 36.02 |
|   floor-marble   |  14.1 | 54.92 |
|   floor-other    |  5.71 | 38.84 |
|   floor-stone    |  9.65 |  10.8 |
|    floor-tile    |  24.3 | 26.26 |
|    floor-wood    | 37.16 | 42.34 |
|      flower      |  0.0  |  0.0  |
|       fog        |  0.67 |  1.11 |
