[2026-03-29 20:20:07 CLIP_DINOiser_fast] (run_remix_training_experiment.py 140): INFO Training finished. Running evaluation...
[2026-03-29 20:22:04 CLIP_DINOiser_fast] (logging.py 102): INFO per class results:
[2026-03-29 20:22:04 CLIP_DINOiser_fast] (logging.py 102): INFO 
+------------------+-------+-------+
|      Class       |  IoU  |  Acc  |
+------------------+-------+-------+
|      person      | 16.19 | 17.26 |
|     bicycle      | 44.03 | 83.51 |
|       car        | 38.68 | 70.26 |
|    motorcycle    | 61.75 |  75.5 |
|     airplane     |  65.8 | 96.69 |
|       bus        | 66.43 |  84.2 |
|      train       | 37.57 | 47.95 |
|      truck       | 19.27 | 24.01 |
|       boat       | 52.45 | 80.06 |
|  traffic light   | 23.74 | 62.75 |
|   fire hydrant   | 45.72 | 62.53 |
|    stop sign     | 12.33 | 84.08 |
|  parking meter   |  8.05 | 10.32 |
|      bench       | 22.71 | 33.06 |
|       bird       | 44.51 |  79.4 |
|       cat        |  70.1 | 96.56 |
|       dog        | 68.66 | 93.45 |
|      horse       |  50.8 | 72.65 |
|      sheep       | 51.34 | 74.36 |
|       cow        | 62.55 | 90.86 |
|     elephant     | 86.05 | 97.08 |
|       bear       |  83.9 | 93.38 |
|      zebra       | 78.39 | 93.07 |
|     giraffe      | 46.23 | 80.34 |
|     backpack     |  2.02 | 14.44 |
|     umbrella     | 38.79 | 53.31 |
|     handbag      |  0.21 |  0.37 |
|       tie        |  1.39 | 45.52 |
|     suitcase     |  55.5 | 64.45 |
|     frisbee      |  5.1  | 61.76 |
|       skis       | 11.59 | 68.79 |
|    snowboard     |  0.01 |  0.29 |
|   sports ball    |  1.18 | 43.87 |
|       kite       | 35.11 | 60.48 |
|   baseball bat   |  0.0  |  0.0  |
|  baseball glove  |  0.0  |  0.0  |
|    skateboard    | 13.25 |  16.5 |
|    surfboard     | 29.21 |  89.1 |
|  tennis racket   |  4.4  | 20.48 |
|      bottle      | 35.38 | 51.88 |
|    wine glass    | 22.05 | 48.06 |
|       cup        |  1.41 |  2.3  |
|       fork       |  0.0  |  0.0  |
|      knife       |  0.0  |  0.0  |
|      spoon       | 61.42 | 91.71 |
|       bowl       |  8.3  | 15.47 |
|      banana      | 17.56 | 17.99 |
|      apple       |  0.0  |  0.0  |
|     sandwich     |  0.0  |  0.0  |
|      orange      |  0.0  |  0.0  |
|     broccoli     |  0.0  |  0.0  |
|      carrot      | 23.57 | 23.61 |
|     hot dog      |  0.0  |  0.0  |
|      pizza       |  10.6 | 15.84 |
|      donut       |  0.0  |  0.0  |
|       cake       | 17.34 |  32.5 |
|      chair       |  1.22 |  1.41 |
|      couch       | 26.88 |  36.4 |
|   potted plant   |  2.11 |  2.12 |
|       bed        | 36.51 | 45.43 |
